model_name,sample_name,outcome_name,split_var,split_level,term,estimate,std_error,t_value,p_value,nobs
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::6:12,0.02377829574820294,0.025973758542763792,0.9154738121190203,0.36004104593924724,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::12:18,0.006281818646210411,0.020853454522821224,0.3012363557959104,0.7632621040295892,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::18:24,0.007401522805850101,0.022351038609808454,0.33114894278792223,0.7405628211417477,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::30:36,-0.02179556474993789,0.021330999775166958,-1.0217788654853284,0.30699542049327083,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::36:48,-0.07426349562833974,0.02269902832109373,-3.271659675375982,0.0010853416837802424,45660
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,expiry_bin_6m::48+,-0.11334713869348867,0.032905876545453634,-3.4445865174544035,5.824104842055456e-4,45660
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,signed_new_contractTRUE,-0.08963226023444741,0.024257618122861965,-3.6950148930727913,2.25121167463394e-4,45660
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,midfielders,post_observed_renewalTRUE,-0.06966368799985963,0.02229062378774277,-3.12524623192315,0.0017992258622312484,45660
bosman_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,BosmanTRUE,0.04219980321805669,0.0188258680231881,2.2415860541505217,0.025085261048395997,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::0:6,0.04375332176683798,0.025285254857387935,1.730388798278376,0.08369794835574859,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::6:12,0.016266646956404823,0.025894158438502752,0.6281975525498248,0.5299382901719341,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::12:18,0.0022749171670621423,0.020462752183534934,0.1111735677907795,0.9114886272786847,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::18:24,0.007761924575883831,0.022190447054998147,0.349786759890245,0.7265314728970658,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::30:36,-0.024057535407865226,0.021335957389473498,-1.127558279608042,0.25962674050153506,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::36:48,-0.07080964439986842,0.02229621716087616,-3.175859110491632,0.001514157946303078,45659
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,expiry_bin_6m::48+,-0.10325576304722092,0.03215724003968353,-3.210964713383316,0.0013415536418123683,45659
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,signed_new_contractTRUE,-0.09565343985310758,0.024437530736024716,-3.9142023343667676,9.339905247225035e-5,45659
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,midfielders,post_observed_renewalTRUE,-0.06394885717485602,0.02196687878024225,-2.9111489991183346,0.0036364334481940185,45659
bosman_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,BosmanTRUE,0.06456558113182216,0.02684108490672351,2.4054758351309755,0.016253221027349673,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::0:6,0.06975291349438685,0.03486895599123558,2.0004302254394846,0.0456059951607824,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::6:12,0.01624437385526792,0.03438575142472191,0.4724158461632133,0.6366881045724961,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::12:18,0.009835545115858612,0.02790872493070995,0.3524182899891591,0.7245664497705376,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::18:24,0.010311733728050214,0.029490464948314903,0.3496633147738632,0.7266328921643304,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::30:36,-0.046678233958117155,0.02579313832600585,-1.8097151796008464,0.0705091412807092,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::36:48,-0.09045312689135454,0.02735022999024003,-3.307216316778063,9.61109047604531e-4,34747
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,expiry_bin_6m::48+,-0.16761834012805987,0.039989161582864245,-4.191594259377671,2.9063531471514726e-5,34747
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,signed_new_contractTRUE,-0.10556944606082849,0.028066272184661307,-3.7614345562615896,1.7442541609296905e-4,34747
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,position_group,attackers,post_observed_renewalTRUE,-0.10123512594157776,0.02665392029689669,-3.798132687947016,1.5070106888000385e-4,34747
bosman_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,BosmanTRUE,0.05352482185995079,0.026830644727657005,1.9949137414792517,0.046205041073133425,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::0:6,0.05772637206975884,0.03459530792850414,1.6686185360470893,0.09536946444470915,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::6:12,0.011517953087529129,0.03440250311222769,0.3347998559859239,0.7378156493884374,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::12:18,0.013293497999146205,0.02801257939458233,0.4745545853487946,0.6351628919283059,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::18:24,0.015081967723182635,0.029747674061121263,0.5069965366769303,0.6122202612523262,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::30:36,-0.04576955833794398,0.02600701138064165,-1.7598930406902735,0.07859827216152009,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::36:48,-0.08084398183383838,0.027428362739371697,-2.9474592633191303,0.003245808467569637,34745
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,expiry_bin_6m::48+,-0.15321408956786958,0.03976366547159972,-3.8531178589986683,1.2077331319075217e-4,34745
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,signed_new_contractTRUE,-0.11605340134413057,0.02857774456756616,-4.060971329271501,5.099699400152469e-5,34745
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,position_group,attackers,post_observed_renewalTRUE,-0.09387212866367577,0.026670833172921304,-3.519654899982031,4.430129274792082e-4,34745
bosman_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,BosmanTRUE,0.024799370030349432,0.011463735959575281,2.1632886624220733,0.030550715602125345,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::0:6,0.03717693651168039,0.015473329410716316,2.4026462259591574,0.016301260324201042,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::6:12,0.026050624383096625,0.015848133388541255,1.6437660981533713,0.10026676753278707,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::12:18,0.01586465949097758,0.013004646929508002,1.219922353676524,0.22253296839964165,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::18:24,0.013960003860215925,0.014236710552043794,0.9805638605339106,0.32683973851199843,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::30:36,-0.005646882005642264,0.013024336578844015,-0.43356388799217116,0.6646177298269333,112950
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,squad_role,starter,expiry_bin_6m::36:48,-0.04230072894093232,0.013767345390951672,-3.072540692465933,0.002130120079084173,112950
