term,estimate,std_error,t_value,p_value,months_to_expiry,outcome_name,spec_name,nobs,ci_lo,ci_hi
months_to_expiry::13,0.04936018330764347,0.025490616736305607,1.9364060045413132,0.05285676081371656,13,z_rating,player_month,136642,-6.014254955155202e-4,0.09932179211080246
months_to_expiry::14,0.07226534598983514,0.024665136995264094,2.9298578801208635,0.003401732493336012,14,z_rating,player_month,136642,0.02392167747911752,0.12060901450055275
months_to_expiry::15,0.035989599277993944,0.023645508886253507,1.5220479902175743,0.12804061439269934,15,z_rating,player_month,136642,-0.010355598139062928,0.08233479669505081
months_to_expiry::16,0.019111676120076138,0.022089713903047665,0.865184411349001,0.38696617113363607,16,z_rating,player_month,136642,-0.024184163129897282,0.06240751537004956
months_to_expiry::17,0.029768790985155502,0.023030469209258022,1.2925829132994278,0.19619649379866458,17,z_rating,player_month,136642,-0.015370928664990222,0.07490851063530123
months_to_expiry::19,0.058040571233051175,0.022332224022909276,2.5989606397245018,0.009369564271523172,19,z_rating,player_month,136642,0.014269412148148995,0.10181173031795335
months_to_expiry::20,0.07943567778072347,0.021959181398181694,3.617424362972886,2.995704525349972e-4,20,z_rating,player_month,136642,0.03639568224028735,0.12247567332115958
months_to_expiry::21,0.04129218742221297,0.023568135905767854,1.7520345091063179,0.07981009644568761,21,z_rating,player_month,136642,-0.0049013589530920235,0.08748573379751795
months_to_expiry::22,0.0565471783499798,0.024136583690241468,2.3427995890256037,0.019166522803460984,22,z_rating,player_month,136642,0.009239474317106526,0.10385488238285306
months_to_expiry::23,0.006543955000648083,0.04409772918033921,0.14839664359782223,0.8820338706715614,23,z_rating,player_month,136642,-0.07988759419281677,0.09297550419411293
months_to_expiry::24,-0.0257451617288319,0.019055915547130608,-1.3510325266270684,0.17672712112906455,24,z_rating,player_month,136642,-0.06309475620120789,0.011604432743544092
