model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::30:36,-0.01678433224915115,0.024347171815559267,-0.6893750278800341,0.4906201245849797,48694,0.06817208108356594
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::36:48,-0.013689064198943553,0.05009558465122443,-0.2732588968518799,0.7846657912028452,48694,0.1402676370234284
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::48+,-0.004578397187723347,0.09343022702489623,-0.04900338288275108,0.9609186086965504,48694,0.26160463566970943
bosman,all_comps_strict,z_mean_rating_league_season,player_month,BosmanTRUE,0.030629046629455422,0.023446919462924008,1.3063143189402053,0.1915028941464571,56119,0.06565137449618721
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::0:6,0.05717361135120094,0.03062937378821553,1.8666268447576997,0.06200939855867161,56119,0.08576224660700348
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::6:12,0.024741365681862727,0.02930994866920645,0.8441285913221829,0.39863599922570037,56119,0.08206785627377805
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::12:18,0.043117627671116696,0.022700846458564915,1.8993841374953941,0.05756872401910925,56119,0.06356237008398176
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::18:24,0.04960587045963776,0.024768627811850574,2.002770231619524,0.04525326167492278,56119,0.06935215787318161
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::30:36,0.006524048213782241,0.02219085921621977,0.29399709809405106,0.7687717385689221,56119,0.062134405805415356
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::36:48,-0.011787103314262361,0.02215528202039518,-0.5320222646415275,0.5947330787027553,56119,0.0620347896571065
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::48+,-0.09285928971194497,0.02957600225535462,-3.1396836161362263,0.0017006859829452683,56119,0.08281280631499294
bosman,all_comps_strict,z_weighted_rating_league_season,player_month,BosmanTRUE,0.03726424634932317,0.0191066273256553,1.9503309356584793,0.05118981226417544,56119,0.053498556511834834
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::0:6,0.03479348255218952,0.02448201822874308,1.4211852236651092,0.15532229008390505,56119,0.06854965104048062
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::6:12,-0.003987286765962295,0.026470069417636174,-0.15063378576958666,0.8802703930339528,56119,0.07411619436938129
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::12:18,-0.0010687221273182367,0.019450680027564237,-0.054945232033209807,0.9561841862459814,56119,0.05446190407717986
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::18:24,-0.002385152024294894,0.022679544686849906,-0.10516754446476419,0.916246879715488,56119,0.06350272512317974
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::30:36,-0.024713474687950942,0.021423356764952058,-1.1535762093259547,0.24872645034996588,56119,0.059985398941865754
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::36:48,-0.013689259013111077,0.02020711777171389,-0.677447381054681,0.49815198456942156,56119,0.05657992976079889
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::48+,-0.03779831129103957,0.02616310720352914,-1.444717976232615,0.1485967745069798,56119,0.07325670016988159
bosman,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,BosmanTRUE,0.041161900198161246,0.023643868550883924,1.7409122415638878,0.08175752207194148,56119,0.06620283194247498
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::0:6,0.051948967735839534,0.030842156394385936,1.6843494038340192,0.09217358175954213,56119,0.08635803790428062
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::6:12,0.006206270366404288,0.03000603484923676,0.20683407179879856,0.8361474640918203,56119,0.08401689757786293
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::12:18,0.0298009775340316,0.022420116205994975,1.3292070951025239,0.18383739125830473,56119,0.06277632537678593
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::18:24,0.030587340396714405,0.025595922796205196,1.1950083081688787,0.2321377431978987,56119,0.07166858382937455
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::30:36,-0.015309880146157437,0.02327158744092945,-0.657878633549116,0.5106449542514313,56119,0.06516044483460245
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::36:48,-0.028139541061400285,0.022180259016915334,-1.2686750429713296,0.20461321363890767,56119,0.062104725247362935
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,player_leaguemonth,expiry_bin_6m::48+,-0.10591939443612693,0.02981061969336214,-3.553075901327598,3.8409930900983714e-4,56119,0.08346973514141398
bosman,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,BosmanTRUE,0.04722795995071227,0.019293615448938477,2.4478543213273554,0.014403481616293325,56119,0.05402212325702773
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::0:6,0.04497109606398775,0.024607840904377246,1.8275108425293942,0.06767970860342369,56119,0.06890195453225628
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::6:12,-0.009996076037010316,0.0274973098391541,-0.3635292359682639,0.7162242090191615,56119,0.07699246754963147
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::12:18,0.004255519937893512,0.01935362371351578,0.21988233319435835,0.8259713412685941,56119,0.05419014639784418
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::18:24,-5.976537533080303e-4,0.023793111951634995,-0.025118771958998042,0.9799611813378208,56119,0.06662071346457799
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::30:36,-0.023586998194013054,0.02236325644838543,-1.0547210889635876,0.29160142065919603,56119,0.0626171180554792
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::36:48,-0.021710071550013487,0.020329083074141902,-1.0679316657241746,0.2856004209710915,56119,0.05692143260759732
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,player_leaguemonth,expiry_bin_6m::48+,-0.05828932309429533,0.026237862797119947,-2.221572829502469,0.026354654977700467,56119,0.07346601583193585
bosman,all_comps_strict,z_mean_rating_league_season,spell_month,BosmanTRUE,-0.07664542447014595,0.026367257265082145,-2.9068409997897886,0.0036662636732414334,56119,0.07382832034223
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::0:6,-0.055396750256579065,0.09512053997821687,-0.5823847327744904,0.5603325627060429,56119,0.26633751193900723
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::6:12,-0.011205046801653911,0.0876316567712757,-0.12786528538311,0.8982604791636363,56119,0.24536863895957195
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::12:18,0.02792157479349052,0.051068199102330694,0.5467507232346521,0.5845732289290517,56119,0.14299095748652593
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::18:24,0.060458097840928204,0.045362981521738184,1.3327628787353045,0.18266744579682254,56119,0.1270163482608669
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::30:36,0.011781271965963422,0.023762995990719252,0.49578226460016456,0.6200687838141934,56119,0.0665363887740139
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::36:48,-0.02201721396635248,0.0527065160877739,-0.41773229575042464,0.6761599335023729,56119,0.14757824504576691
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_month,expiry_bin_6m::48+,-0.12176124664661857,0.09673836794213177,-1.2586655040475287,0.20820712147928278,56119,0.27086743023796894
bosman,all_comps_strict,z_weighted_rating_league_season,spell_month,BosmanTRUE,-0.004205923885822709,0.022775965395912437,-0.18466501036120905,0.8534989217680896,56119,0.06377270310855482
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::0:6,-0.05441176350748307,0.07731028010776557,-0.7038101974489882,0.4815821837152817,56119,0.21646878430174357
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::6:12,-0.060567709300395615,0.07073458406670317,-0.8562672715128977,0.3918890245547445,56119,0.19805683538676888
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::12:18,-0.02367313206497759,0.04219832755696131,-0.5609969265493394,0.5748235652511564,56119,0.11815531715949167
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::18:24,-0.005151623076872187,0.03742282873889391,-0.1376599057440587,0.890514485256514,56119,0.10478392046890295
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::30:36,-0.02177792326249616,0.02274146160409243,-0.9576307645317363,0.33829305931715115,56119,0.0636760924914588
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::36:48,8.230957025703069e-4,0.04401687401257356,0.018699549230487996,0.9850814981714622,56119,0.12324724723520596
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_month,expiry_bin_6m::48+,0.0016006710196705188,0.07885486351634083,0.020298951114648967,0.9838056636000835,56119,0.2207936178457543
